CONSTITUENT_ID,AGE,GENDER,CITY,STATE,COUNTRY,ZIPCODE,EMAIL,PHONE,MARRIED,CONSTITUENT_ID,No of Events Attended,CONSTITUENT_ID,Total Amount donated,Donated (yes/no)
1079083,23,Female,River Forest,Illinois,USA,60305,1,0,0,NULL,0,NULL,0,0
1079248,27,Female,Aurora,Illinois,USA,60505,1,1,0,NULL,0,NULL,0,0
1079548,24,Female,Urbana,Illinois,USA,61802,1,1,0,NULL,0,NULL,0,0
1079585,33,Male,Dixon,Illinois,USA,61021,1,1,0,NULL,0,NULL,0,0
1079595,24,Female,Brooklyn,Connecticut,USA,6234,1,1,0,NULL,0,NULL,0,0
1079611,23,Female,Decatur,Illinois,USA,62526,1,1,0,NULL,0,NULL,0,0
1079626,58,Female,Solana Beach,California,USA,92075,0,1,1,NULL,0,NULL,0,0
1080955,86,Male,,No State,USA,,1,1,1,NULL,0,1080955,204,1
1081067,98,Female,Houston,Texas,USA,77210,0,0,0,NULL,0,1081067,14.70000005,1
1081183,0,Female,Downey,California,USA,90240,0,0,0,NULL,0,NULL,0,0
1082194,82,Male,Cape Elizabeth,Maine,USA,4107,0,1,1,NULL,0,NULL,0,0
1082207,56,Female,Fillmore,California,USA,93015,1,1,1,NULL,0,NULL,0,0
1083690,83,Female,Hoffman Estates,Illinois,USA,60169,0,1,0,NULL,0,NULL,0,0
1083715,60,Female,Champaign,Illinois,USA,61822,1,1,1,1083715,1,NULL,0,0
1083757,57,Female,Forest Park,Illinois,USA,60130,0,1,0,NULL,0,NULL,0,0
1084650,0,Female,Shaker Heights,Ohio,USA,44122,0,0,0,NULL,0,NULL,0,0
1086102,23,Female,Wasco,Illinois,USA,60183,1,1,0,NULL,0,NULL,0,0
108611,35,Female,Champaign,Illinois,USA,61820,1,1,0,108611,1,NULL,0,0
1086127,23,Female,Warrenville,Illinois,USA,60555,1,1,0,NULL,0,NULL,0,0
108615,33,Female,Charleston,Illinois,USA,61920,1,1,0,108615,1,NULL,0,0
108621,30,Female,Chapin,Illinois,USA,62628,1,1,1,NULL,0,NULL,0,0
1086366,34,Female,Champaign,Illinois,USA,61821,1,1,0,NULL,0,NULL,0,0
1086386,24,Female,Vernon Hills,Illinois,USA,60061,1,1,0,NULL,0,NULL,0,0
1086433,23,Female,Aurora,Illinois,USA,60505,1,1,0,NULL,0,NULL,0,0
1086459,25,Female,Savoy,Illinois,USA,61874,1,1,0,NULL,0,NULL,0,0
108646,30,Female,Chicago,Illinois,USA,60626,1,1,0,108646,3,NULL,0,0
1086471,55,Female,Clementon,New Jersey,USA,8021,1,1,0,NULL,0,NULL,0,0
1086503,24,Female,Arlington Hts,Illinois,USA,60005,1,1,0,NULL,0,NULL,0,0
1086566,25,Female,Carol Stream,Illinois,USA,60188,1,1,0,NULL,0,NULL,0,0
1086797,99,Male,,No State,USA,,0,1,0,NULL,0,1086797,20,1
108681,29,Female,Aurora,Illinois,USA,60507,1,1,0,NULL,0,NULL,0,0
108700,33,Female,Champaign,Illinois,USA,61822,1,1,0,NULL,0,108700,900,1
108721,30,Female,East Moline,Illinois,USA,61244,1,1,0,NULL,0,NULL,0,0
108730,32,Female,Champaign           ,Illinois,USA,61821,1,1,0,NULL,0,NULL,0,0
108777,30,Female,Springfield,Illinois,USA,62703,1,1,0,NULL,0,NULL,0,0
1087840,57,Female,Germantown,Tennessee,USA,38139,0,1,0,NULL,0,NULL,0,0
1087879,61,Male,Palm Coast,Florida,USA,32137,1,1,0,NULL,0,NULL,0,0
1087901,56,Female,Blacksburg,Virginia,USA,24060,0,1,0,NULL,0,NULL,0,0
1087965,60,Female,Colona,Illinois,USA,61241,0,1,0,NULL,0,NULL,0,0
1088246,77,Male,,No State,USA,,0,1,0,NULL,0,NULL,0,0
1088285,59,Female,Chicago,Illinois,USA,60614,0,1,0,NULL,0,NULL,0,0
1088319,61,Female,St Thomas,Virgin Islands,USA,801,1,0,0,NULL,0,NULL,0,0
1088451,59,Female,Phoenix,Arizona,USA,85022,0,1,0,NULL,0,NULL,0,0
1088487,66,Male,Belleville,Illinois,USA,62221,1,1,0,NULL,0,NULL,0,0
1088495,58,Female,Los Angeles,California,USA,90028,1,1,1,NULL,0,NULL,0,0
1088695,59,Female,Barrington,Illinois,USA,60010,0,1,1,NULL,0,NULL,0,0
1088755,69,Female,Tuscaloosa,Alabama,USA,35406,0,1,1,NULL,0,NULL,0,0
1088790,0,Male,San Antonio,Texas,USA,78207,1,1,0,NULL,0,1088790,250,1
1088856,60,Male,Oak Park,Illinois,USA,60302,1,1,0,NULL,0,NULL,0,0
1088873,58,Female,Lindale,Texas,USA,75771,1,1,1,NULL,0,NULL,0,0
1090012,72,Male,Dunsmuir,California,USA,96025,0,1,0,NULL,0,NULL,0,0
1090015,62,Male,Bethalto,Illinois,USA,62010,1,1,1,NULL,0,NULL,0,0
1090225,63,Female,Broomfield,Colorado,USA,80020,0,1,0,NULL,0,1090225,300,1
1090239,61,Male,Sunman,Indiana,USA,47041,0,1,0,NULL,0,NULL,0,0
1090303,64,Female,Chatham,Massachusetts,USA,2633,0,1,1,NULL,0,NULL,0,0
1090344,76,Female,Ventura,California,USA,93003,0,1,1,NULL,0,NULL,0,0
1090362,63,Female,Rancho Santa Margarita,California,USA,92688,0,1,0,NULL,0,NULL,0,0
1090394,59,Female,Glencoe,Illinois,USA,60022,1,1,1,NULL,0,NULL,0,0
1090395,59,Female,Los Angeles,California,USA,90024,0,1,0,NULL,0,NULL,0,0
1090402,65,Male,Carmi,Illinois,USA,62821,1,1,1,NULL,0,NULL,0,0
1090417,68,Male,Duluth,Minnesota,USA,55812,1,1,0,NULL,0,NULL,0,0
1090426,58,Female,Pacifica,California,USA,94044,0,1,1,NULL,0,NULL,0,0
1090463,59,Female,Los Angeles,California,USA,90067,0,1,0,NULL,0,NULL,0,0
1090490,57,Female,Menlo Park,California,USA,94025,0,1,0,NULL,0,NULL,0,0
1090503,61,Female,Durham,North Carolina,USA,27713,1,1,1,NULL,0,NULL,0,0
1090511,63,Female,Albuquerque,New Mexico,USA,87105,0,1,0,NULL,0,NULL,0,0
1090550,69,Female,Denver,Colorado,USA,80206,0,1,0,NULL,0,NULL,0,0
1090573,62,Female,Waukesha,Wisconsin,USA,53189,0,1,0,NULL,0,NULL,0,0
1090682,57,Female,Wilmette,Illinois,USA,60091,1,1,1,NULL,0,NULL,0,0
1092753,60,Female,Taylorville,Illinois,USA,62568,0,1,0,NULL,0,NULL,0,0
1092763,60,Female,Germantown Hills,Illinois,USA,61548,1,1,0,NULL,0,NULL,0,0
1092940,64,Female,Marion,Illinois,USA,62959,1,1,0,NULL,0,NULL,0,0
1092999,58,Female,Berwyn,Illinois,USA,60402,1,1,1,NULL,0,NULL,0,0
1093055,0,Male,Excelsior Springs,Missouri,USA,64024,1,1,0,NULL,0,NULL,0,0
1093108,62,Female,Peoria,Illinois,USA,61614,1,1,0,NULL,0,NULL,0,0
1093112,59,Female,Saint Louis,Missouri,USA,63119,0,1,0,NULL,0,NULL,0,0
1093114,64,Female,Tucson,Arizona,USA,85749,1,1,0,NULL,0,NULL,0,0
